135,0604774D8Z,Defense Readiness Reporting System (DRRS),06,6393,Management Support
136,0604875D8Z,Joint Systems Architecture Development,06,2479,Management Support
137,0604940D8Z,Central Test and Evaluation Investment Development (CTEIP),06,240213,Management Support
138,0604942D8Z,Assessments and Evaluations,06,2127,Management Support
139,0604943D8Z,Thermal Vicar,06,8287,Management Support
140,0605100D8Z,Joint Mission Environment Test Capability (JMETC),06,31000,Management Support
141,0605104D8Z,Technical Studies Support and Analysis,06,24379,Management Support
143,0605117D8Z,Foreign Materiel Acquisition and Exploitation,06,54311,Management Support
146,0605130D8Z,Foreign Comparative Testing,06,12134,Management Support
147,0605142D8Z,Systems Engineering,06,44237,Management Support
148,0605151D8Z,Studies and Analysis Support - OSD,06,5871,Management Support
149,0605161D8Z,Nuclear Matters-Physical Security,06,5028,Management Support
150,0605170D8Z,Support to Networks and Information Integration,06,6301,Management Support
151,0605200D8Z,General Support to USD (Intelligence),06,6504,Management Support
158,0605790D8Z,Small Business Innovation Research (SBIR)/ Small Business Technology Transfer (STTR),06,1868,Management Support
159,0605798D8Z,Defense Technology Analysis,06,8362,Management Support
162,0605804D8Z,Development Test and Evaluation,06,15451,Management Support
165,0606100D8Z,Budget and Program Assessments,06,4083,Management Support
167,0203345D8Z,Defense Operations Security Initiative (DOSI),06,5306,Management Support
175,0305193D8Z,Cyber Intelligence,06,7624,Management Support
178,0804767D8Z,COCOM Exercise Engagement and Training Transformation (CE2T2),06,43247,Management Support
185,0607210D8Z,Industrial Base Analysis and Sustainment Support,07,14000,Operational System Development
186,0607310D8Z,Operational Systems Development,07,1955,Operational System Development
207,0303140D8Z,Information Systems Security Program,07,10673,Operational System Development
213,0303260D8Z,Defense Military Deception Program Office (DMDPO),07,1246,Operational System Development
221,0305125D8Z,Critical Infrastructure Protection (CIP),07,9752,Operational System Development
225,0305186D8Z,Policy R&D Programs,07,3210,Operational System Development
227,0305199D8Z,Net Centricity,07,21602,Operational System Development
238,0305387D8Z,Homeland Defense Technology Transfer Program,07,2338,Operational System Development
239,0305600D8Z,International Intelligence Technology and Architectures,07,4372,Operational System Development
